Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,Unnamed: 22,Vigente,SEI,ABA_ORIGEM,Unnamed: 1,Unnamed: 2,mood,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,F,IAUPE %,IIT,UNIDADE
0.0,,,0.0,,Coco & CIA - Indústria e comércio Mendonça Barreto Ltda,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Dois A Engenharia,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Guararapes Confecções S/A,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Mineração Cunha Comércio LTDA - Água Mineral Cristalina,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Produmar - Exportadora de Produtos do Mar Eireli,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,3 Corações Alimentos S.A. (Unidade Natal/RN),,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Cervejaria Femme,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Coteminas S.A.,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,ESSANTO Móveis,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Spazio Mobile (SJP),,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Cachaçaria Matuta,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Cachaçaria Triunfo,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Natural Nuts,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,,Incomel Móveis,,,0.0,,,,,,,,,,,,0.0,,,,,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021.0,PD&I,IAUPE,0.0,Sistema de análise e mineração de sentenças trabalhistas,Neurolaw Desenvolvimento de Tecnologia Ltda.,Privado,Tecnologia da Informação,60000.0,Bruno José Torres Fernandes,POLI,Recife - PE,RMR - Núcleo Centro,1.0,,2.0,2.0,1.0,,,6.0,2021-01-18,2021-04-18 00:00:00,Não Vigente,0040610072.000009/2023-16,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021.0,PD&I,IAUPE,0.0,Sistema de Inspeção 2 e 3D automático para detecção de defeitos nas coberturas de correias transportadoras,PASSARELLI SERVIÇOS E TECNOLOGIA DA INFORMAÇÃO LTDA,Privado,Tecnologia da Informação,14000.0,Bruno José Torres Fernandes,POLI,Recife - PE,RMR - Núcleo Centro,2.0,,1.0,1.0,1.0,,,5.0,2021-02-18,2021-08-18 00:00:00,Não Vigente,0040610072.000022/2023-67,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
