Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,,Vigente,SEI
2023,PD&I,IAUPE,NÃO INFORMADO,CONSTRUÇÃO DO CFD DO FORNO-1 VIVIX,COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP - VIVIX,PRIVADO,INDÚSTRIA DE VIDROS,"R$ 80.000,00",DIEGO JOSÉ RÁTIVA MILLÁN,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,2,31/05/2023,02/2024,NÃO VIGENTE,0040610072.000063/2023-53
2023,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO DAS VEDAÇÕES VERTICAIS DE EDIFICAÇÃO DE MÚLTIPLOS PAVIMENTOS,"MADEIRA DE LEI DESENVOLVIMENTO IMOBILIÁRIO SOCIEDADE UNIPESSOAL
LTDA",PRIVADO,SETOR IMOBILIÁRIO,"R$ 9.904,50",ALBERTO CASADO LORDSLEEM JÚNIOR,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/06/2023,01/12/2023,NÃO VIGENTE,0040610072.000070/2023-55
2023,PD&I,IAUPE,NÃO INFORMADO,IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 7.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 62.250,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,2,2,2,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,7,14/06/2023,13/09/2023,NÃO VIGENTE,0040610072.000046/2023-16
2023,PD&I,IAUPE,NÃO INFORMADO,EXPLICABILIDADE E INTERPRETABILIDADE DE MODELOS DE APRENDIZADO DE MÁQUINA PROFUNDO PARA APLICAÇÕES EM SAÚDE,FUNDAÇÃO PARA INOVAÇÕES TECNOLÓGICAS - FITEC,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 22.035,72",CARMELO JOSÉ ALBANEZ BASTOS FILHO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/07/2023,01/07/2027,VIGENTE,0040610072.000058/2023-41
2023,PD&I,IAUPE,NÃO INFORMADO,FORNO-1 VIVIX VIA GÊMEOS DIGITAIS,COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP - VIVIX,PRIVADO,INDÚSTRIA DE VIDROS,"R$ 50.000,00",DIEGO JOSÉ RÁTIVA MILLÁN,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,NÃO INFORMADO,2,2,NÃO INFORMADO,NÃO INFORMADO,5,07/2023,02/2024,NÃO VIGENTE,0040610072.000075/2023-88
2023,PD&I,IAUPE,NÃO INFORMADO,FORMAÇÃO DE BOLHAS NA FABRICAÇÃO DE VIDROS PLANOS,COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP - VIVIX,PRIVADO,INDÚSTRIA DE VIDROS,"R$ 150.000,00",LUIS ARTURO GÓMEZ MALAGÓN,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,1,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,4,07/2023,02/2024,NÃO VIGENTE,0040610072.000074/2023-33
2023,PD&I,IAUPE,NÃO INFORMADO,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA 9.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 75.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,3,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,7,25/07/2023,15/10/2023,NÃO VIGENTE,0040610072.000053/2023-18
2023,PD&I,IAUPE,NÃO INFORMADO,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 6.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 46.935,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,3,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,5,26/07/2023,31/10/2023,NÃO VIGENTE,0040608325.000186/2022-42
2023,PD&I,IAUPE,NÃO INFORMADO,"AGENTES DE IA PARA MODERAÇÃO, RELATORIA E ACOMPANHAMENTO DE REUNIÕES VIRTUAIS",FML CLÍNICA MÉDICA,PRIVADO,SETOR HOSPITALAR,"R$ 28.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,CAMARAGIBE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,1,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,4,18/09/2023,17/11/2023,NÃO VIGENTE,0040610072.000080/2023-91
2023,PD&I,IAUPE,NÃO INFORMADO,IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 8.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 62.250,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,2,2,2,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,7,14/09/2023,13/12/2023,NÃO VIGENTE,0040610072.000046/2023-16
2023,PD&I,IAUPE,9,PLATAFORMA DIGITAL PARA O DESENVOLVIMENTO DE CIDADES INTELIGENTES E SUSTENTÁVEIS,PREFEITURA DE CABROBÓ,PÚBLICO,GESTÃO MUNICIPAL,"R$ 161.647,06",MÁRCIA REJANE OLIVEIRA BARROS CARVALHO MACEDO,POLI,CABROBÓ - PE,SERTÃO DO SÃO FRANCISCO,3,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,5,10/2023,09/2025,NÃO VIGENTE,0040610072.000088/2023-57
2023,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO DE UM AMBIENTE DE PESQUISA E INOVAÇÃO DE PROCESSOS DE NEGÓCIO VISION ONE.,VISION ONE,PRIVADO,SETOR HOSPITALAR,"R$ 45.000,00",HÍGOR RICARDO MONTEIRO SANTOS,FCAP,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/11/2023,01/04/2024,NÃO VIGENTE,0040610072.000094/2023-12
2023,PD&I,IAUPE,NÃO INFORMADO,ASSESSORIA JURÍDICA 10.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 75.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,6,10/10/2023,15/01/2023,NÃO VIGENTE,0040610072.000053/2023-18
2023,PD&I,IAUPE,NÃO INFORMADO,SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 7.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 46.935,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,3,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,5,01/11/2023,31/01/2024,NÃO VIGENTE,0040608325.000186/2022-42
2023,PD&I,IAUPE,3,RECFACE 1,PUMATRONIX EQUIPAMENTOS ELETRÔNICOS LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 300.000,00",ALEXANDRE MAGNO ANDRADE MACIEL,POLI,CURITIBA - PR,EXTERNO,NÃO INFORMADO,3,1,2,1,NÃO INFORMADO,NÃO INFORMADO,7,11/2023,06/2024,NÃO VIGENTE,0040610072.000104/2023-10
2023,PD&I,IAUPE,NÃO INFORMADO,GESTÃO DE SEGURANÇA DO TRABALHO EM OBRAS DE CONSTRUÇÃO ATRAVÉS DE INDICADORES DE SEGURANÇA - ESTUDO EM CONSTRUÇÕES VERTICAIS,UPE-POLI/IAUPE,PÚBLICO,CONSTRUÇÃO CIVIL,"R$ 34.000,00",ELIANE LAGO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/11/2023,01/05/2023,NÃO VIGENTE,0040610072.000099/2023-37
2023,PD&I,IAUPE,9,"DESENVOLVIMENTO DE SISTEMA DE GESTÃO, COMPOSTO POR UM APLICATIVO MOBILE (APP) E UM AMBIENTE WEB, INTEGRADOS, PARA PROMOVER A INTERAÇÃO ENTRE A POPULAÇÃO E O GESTOR MUNICIPAL.",PREFEITURA DE VITÓRIA DE SANTO ANTÃO,PÚBLICO,GESTÃO MUNICIPAL,"R$ 311.250,00",MÁRCIA REJANE OLIVEIRA BARROS CARVALHO MACEDO,POLI,VITÓRIA DE SANTO ANTÃO - PE,MATA SUL,5,NÃO INFORMADO,NÃO INFORMADO,1,1,7,NÃO INFORMADO,14,10/2023,10/2025,NÃO VIGENTE,0040610072.000118/2023-25
2023,PD&I,IAUPE,NÃO INFORMADO,PRAZOS TRABALHISTAS 9.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 65.250,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,2,2,2,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,7,14/12/2023,13/03/2024,NÃO VIGENTE,0040610072.000046/2023-16
2023,PD&I,IAUPE,NÃO INFORMADO,PROTÓTIPO ANALISADOR DE DISPOSITIVOS DE PROTEÇÃO CONTRA SURTOS (DPS),"CLAMPER INDÚSTRIA E
COMÉRCIO S.A",PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 159.750,00",GUSTAVO OLIVEIRA CAVALCANTI,NÃO INFORMADO,LAGOA SANTA - MG,EXTERNO,1,1,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,4,01/12/2023,01/01/2024,NÃO VIGENTE,NÃO INFORMADO
2023,PD&I,IAUPE,NÃO INFORMADO,INDORAMA FIBRAS 4.0: SISTEMA AUTOMATIZADO PARA COLETA DE AMOSTRAS DE FIBRAS,INDORAMA VENTURES FIBRAS BRASIL LTDA.,PRIVADO,INDÚSTRIA PETROQUÍMICA,"R$ 189.900,00",ROGÉRIO PONTES DE ARAÚJO,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,3,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,5,21/12/2023,21/08/2024,NÃO VIGENTE,0040610072.000120/2023-02
2023,PD&I,IAUPE,NÃO INFORMADO,INDORAMA POLÍMEROS DIGITAL - FASE 1: INTELIGÊNCIA ARTIFICIAL APLICADA AO PROCESSO DE OSMOSE REVERSA.,INDORAMA VENTURES FIBRAS BRASIL LTDA.,PRIVADO,INDÚSTRIA PETROQUÍMICA,"R$ 275.750,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,NÃO INFORMADO,NÃO INFORMADO,1,1,1,NÃO INFORMADO,NÃO INFORMADO,3,26/12/2023,31/08/2024,NÃO VIGENTE,0040610072.000123/2023-38
2023,PD&I,IAUPE,NÃO INFORMADO,"SISTEMA DE DIGITALIZAÇÃO, RASTREABILIDADE E RECONHECIMENTO DE PADRÕES",INDORAMA VENTURES FIBRAS BRASIL LTDA.,PRIVADO,INDÚSTRIA PETROQUÍMICA,"R$ 254.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,27/12/2023,27/12/2024,NÃO VIGENTE,0040610072.000119/2023-70
2023,PD&I,IAUPE,NÃO INFORMADO,NATTO DIGITAL: OTIMIZAÇÃO DE PLANEJAMENTO DE PRODUÇÃO.,NOTARO ALIMENTOS LTDA.,PRIVADO,INDÚSTRIA ALIMENTÍCEA,"R$ 146.250,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,NÃO INFORMADO,NÃO INFORMADO,3,1,NÃO INFORMADO,NÃO INFORMADO,5,27/12/2023,01/03/2025,NÃO VIGENTE,0040610072.000121/2023-49
2023,PD&I,IAUPE,NÃO INFORMADO,"AUTOMATIZAÇÃO DE ARMAZENAMENTO, ACOMPANHAMENTO E OTIMIZAÇÃO DE PROCESSOS NA PITU.",ENGARRAFAMENTO PITU LTDA.,PRIVADO,INDÚSTRIA DE BEBIDAS ALCOÓLICAS,"R$ 780.742,63",CLEYTON MÁRIO DE OLIVEIRA RODRIGUES,POLI,VITÓRIA DE SANTO ANTÃO - PE,MATA SUL,NÃO INFORMADO,1,1,1,1,NÃO INFORMADO,NÃO INFORMADO,4,27/12/2023,27/01/2025,NÃO VIGENTE,0040610072.000116/2023-36
2023,PD&I,IAUPE,NÃO INFORMADO,ROCA DIGITAL - FASE 3: EXPANSÃO DA RASTREABILIDADE - 100% DOS CARROS.,ROCA SANITÁRIOS BRASIL LTDA.,PRIVADO,INDÚSTRIA DE PRODUTOS SANITÁRIOS,"R$ 292.812,50",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,3,NÃO INFORMADO,1,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,5,28/12/2023,31/11/2024,VIGENTE,0040610072.000003/2023-31
2023,PD&I,IAUPE,NÃO INFORMADO,CAPE DIGITAL: VISIBILIDADE E PERFORMANCE NA INDÚSTRIA.,CAPE IGARASSU INDÚSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA.,PRIVADO,INDÚSTRIA QUÍMICA,"R$ 653.200,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,IGARASSU - PE,RMR - NÚCLEO NORTE,1,1,3,7,1,NÃO INFORMADO,NÃO INFORMADO,13,28/12/2023,31/12/2024,NÃO VIGENTE,0040610072.000039/2023-14
2023,PD&I,IAUPE,NÃO INFORMADO,"FIRMWARE-GREEN: PROTOTIPANDO UMA INFRAESTRUTURA EMBARCADA PARA COMUNICAÇÃO MULTIMEIOS ATRAVÉS DA INTEGRAÇÃO DO MÓDULO NBIOT, MÓDULO WISUN E MÓDULO LORAWAN/SIGFOX.",SMARTGREEN DESENVOLVIMENTO DE TECNOLOGIAS S.A,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 115.000,00",JORGE CAVALCANTI BARBOSA FONSÊCA,CARUARU,CURITIBA - PR,EXTERNO,5,NÃO INFORMADO,NÃO INFORMADO,5,1,NÃO INFORMADO,NÃO INFORMADO,11,28/12/2023,30/06/2024,NÃO VIGENTE,"0040610072.000129/2023-13
(HOUVE ADITIVO)"
2023,RESITEC,IAUPE,NÃO INFORMADO,AGRO 4.0,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL (MIDR),PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 160.000,00",CLAUDEMIRO DE LIMA JÚNIOR,PETROLINA,BRASÍLIA - DF,EXTERNO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2023,PD&I,UPE,NÃO INFORMADO,ATI/TCE/UPE - 2023,TRIBUNAL DE CONTAS DO ESTADO (TCE),PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 39.600,00",FERNANDO BUARQUE DE LIMA NETO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2023,RESITEC,UPE,NÃO INFORMADO,SDSCJPVD /2023,SDSCJPVD,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 253.392,00",MIRTES RIBEIRO DE LIRA,MATA NORTE,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,11/09/2023,11/09/2024,NÃO VIGENTE,0040608325.000101/2023-15
2023,SERVIÇO TECNOLÓGICO,UPE,NÃO INFORMADO,SESI /2023,SESI,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 788.920,00",MAURO BARROS,ESEF,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/05/2023,01/02/2024,NÃO VIGENTE,0040610072.000047/2023-61
2023,INOVAÇÃO ABERTA,NÃO INFORMADO,NÃO INFORMADO,INOVAÇÃO ABERTA POLI - 2023.1,NÃO INFORMADO,NÃO INFORMADO,EVENTOS,NÃO INFORMADO,GENÉSIO GOMES DA CRUZ NETO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2023,INOVAÇÃO ABERTA,NÃO INFORMADO,NÃO INFORMADO,INOVAÇÃO ABERTA POLI - 2023.2,NÃO INFORMADO,NÃO INFORMADO,EVENTOS,NÃO INFORMADO,GENÉSIO GOMES DA CRUZ NETO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2023,INOVAÇÃO ABERTA,NÃO INFORMADO,NÃO INFORMADO,INOVAÇÃO ABERTA PETROLINA - 2023,NÃO INFORMADO,NÃO INFORMADO,EVENTOS,NÃO INFORMADO,CLAUDEMIRO DE LIMA JÚNIOR,PETROLINA,PETROLINA - PE,SERTÃO DO SÃO FRANCISCO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2023,INOVAÇÃO ABERTA,NÃO INFORMADO,NÃO INFORMADO,INOVAÇÃO ABERTA CARUARU - 2023,NÃO INFORMADO,NÃO INFORMADO,EVENTOS,NÃO INFORMADO,RÔMULO CÉSAR DIAS DE ANDRADE,CARUARU,CARUARU - PE,AGRESTE CENTRAL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2023,INOVAÇÃO ABERTA,NÃO INFORMADO,NÃO INFORMADO,INOVAÇÃO ABERTA ARCOVERDE - 2023,NÃO INFORMADO,NÃO INFORMADO,EVENTOS,NÃO INFORMADO,PEDRO HENRIQUE SETTE DE SOUZA,ARCOVERDE,ARCOVERDE - PE,SERTÃO DO MOXOTÓ,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO,NÃO VIGENTE,NÃO INFORMADO
2023,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVER TRABALHOS DE PESQUISA E DESENVOLVIMENTO ASSOCIADOS À TEMÁTICA DA IMPLEMENTAÇÃO DE NOVAS TOPOLOGIAS DE MICRORREDES (MRS).,PARQUE TECNOLÓGICO ITAIPU,NÃO INFORMADO,INOVAÇÃO SOCIAL,"R$ 0,00",MANOEL HENRIQUE DE NÓBREGA MARINHO,POLI,FOZ DO IGUAÇU - PR,EXTERNO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,30/05/2023,25/08/2025,VIGENTE,0040608795.000022/2023-60
2024,PD&I,IAUPE,NÃO INFORMADO,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA – 11.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 75.000,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,2,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,6,16/01/2024,15/04/2024,NÃO VIGENTE,0040610072.000053/2023-18
2024,PD&I,IAUPE,NÃO INFORMADO,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 8.0,NEUROLAW DESENVOLVIMENTO DE TECNOLOGIA LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 46.935,00",BRUNO JOSÉ TORRES FERNANDES,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,5,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,7,01/02/2024,30/04/2024,NÃO VIGENTE,0040608325.000186/2022-42
2024,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO DE SOFTWARE BACKEND E COMPUTAÇÃO NA NUVEM,FUNDAÇÃO PARA INOVAÇÕES TECNOLÓGICAS - FITEC,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 21.300,00","EMANOEL FRANCISCO SPÓSITO
BARREIROS",GARANHUNS,RECIFE - PE,RMR - NÚCLEO CENTRO,3,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,4,01/02/2024,27/08/2024,NÃO VIGENTE,0040610072.000127/2023-16
2024,PD&I,IAUPE,NÃO INFORMADO,IDENTIFICAÇÃO DE VARIÁVEIS QUE INFLUENCIAM A FORMAÇÃO DE BOLHAS DURANTE O PROCESSO DE FABRICAÇÃO DE VIDROS PLANOS.,COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP - VIVIX,PRIVADO,INDÚSTRIA DE VIDROS,"R$ 150.000,00",LUIS ARTURO GÓMEZ MALAGÓN,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,2,2,NÃO INFORMADO,3,1,NÃO INFORMADO,NÃO INFORMADO,8,01/2024,31/07/2024,NÃO VIGENTE,0040610072.000074/2023-33
2024,PD&I,IAUPE,NÃO INFORMADO,FORNO-1 VIVIX VIA GÊMEOS DIGITAIS,COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP - VIVIX,PRIVADO,INDÚSTRIA DE VIDROS,"R$ 50.000,00",DIEGO JOSÉ RÁTIVA MILLÁN,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,02/2024,30/04/2024,NÃO VIGENTE,0040610072.000075/2023-88
2024,PD&I,IAUPE,NÃO INFORMADO,REDUÇÃO DA PERDA DE BORDO NA FABRICAÇÃO DE VIDROS PLANOS,COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP - VIVIX,PRIVADO,INDÚSTRIA DE VIDROS,"R$ 100.000,00",DIEGO JOSÉ RÁTIVA MILLÁN,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,6,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,8,02/2024,31/10/2024,NÃO VIGENTE,0040610072.000062/2023-17
2024,PD&I,IAUPE,NÃO INFORMADO,SISTEMA DE ANÁLISE E MINERAÇÃO DE SENTENÇAS,PAMESA DO BRASIL S/A,PRIVADO,INDÚSTRIA DE MATERIAIS DE CONSTRUÇÃO,"R$ 200.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,1,NÃO INFORMADO,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,3,01/2024,31/12/2024,NÃO VIGENTE,0040610072.000006/2023-74
2024,PD&I,IAUPE,7,MOURA DIGITAL - FASE 1,ACUMULADORES MOURA S.A.,PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 120.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,JABOATÃO DOS GUARARAPES - PE,RMR - NÚCLEO OESTE/SUL,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/08/2024,31/08/2025,NÃO VIGENTE,0040610072.000005/2024-19
2024,PD&I,UPE,3,PROJETO DE INOVAÇÃO TECNOLÓGICA EM SAÚDE CARDIOVASCULAR PROCAPE/UPE (ITECH-PROCAPE/UPE),PROCAPE,PÚBLICO,SETOR HOSPITALAR,"R$ 1.544.800,00",RICARDO DE CARVALHO LIMA,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/02/2024,01/02/2027,VIGENTE,0040608325.000003/2024-51
2024,PD&I,IAUPE,3,OCR - TECNOLOGIA DE RECONHECIMENTO DE PLACAS VEICULARES ATRAVÉS DE IMAGENS DISPONIBILIZADAS VIA STREAMING DO EQUIPAMENTO MDVR.,OMNILINK TECNOLOGIA S.A.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 117.037,50",IVALDIR HONÓRIO DE FARIAS JUNIOR,GARANHUNS,BARUERI - SP,EXTERNO,3,5,2,4,1,NÃO INFORMADO,NÃO INFORMADO,15,01/02/2024,31/03/2024,NÃO VIGENTE,0040610072.000010/2024-13
