ANO_INOV,NATUREZA_INOV,VIA_INOV,PROJETO_INOV,UNIDADE_INOV,CIDADE_INOV
2022,PD&I,VIA NÃO INFORMADA,DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO DAS VEDAÇÕES VERTICAIS DE EDIFICAÇÃO DE MÚLTIPLOS PAVIMENTOS.,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 3.0,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,"PLATAFORMA INTELIGENTE PARA 
 ASSESSORIA JURÍDICA – 5.0",UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA: APLICABILIDADE E IMPACTOS DE UMA REDE PERMISSIONADA NO PROCESSO DE M&A COM DUE DILIGENCE,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,"ANÁLISE DO NÍVEL DE TENSÃO RESIDUAL 
 NO RAMO DPS PROVOCADO PELA UTILIZAÇÃO DE PROTEÇÃO CONTRA SOBRECORRENTES *",UNIDADE NÃO INFORMADA,LAGOA SANTA - MG
2022,PD&I,VIA NÃO INFORMADA,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 4.0,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,"PLATAFORMA INTELIGENTE PARA 
 ASSESSORIA JURÍDICA – 6.0",UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,UTILIZAÇÃO DE SMART CONTRACTS EM BLOCKCHAIN NA ESFERA JURÍDICA 3.0,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,2ª ETAPA: DESENVOLVER SISTEMA DE SECAGEM DO BAGAÇO DE CANA-DE-AÇÚCAR EM SISTEMA DE COGERAÇÃO DE ENERGIA.,UNIDADE NÃO INFORMADA,VITÓRIA DE SANTO ANTÃO - PE
2022,PD&I,VIA NÃO INFORMADA,"NATTO DIGITAL: VISIBILIDADE E PERFORMANCE NA MANUFATURA COM OBJETIVO DE DESENVOLVER UMA SOLUÇÃO CAPAZ DE COLETAR E ARMAZENAR OS DADOS DE MÁQUINAS E DE OUTROS SISTEMAS, TORNANDO-OS FACILMENTE ACESSÍVEIS POR SOLUÇÕES DIGITAIS DE VISUALIZAÇÃO E ANÁLISE",UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,ANÁLISE DA VIDA ÚTIL DE INVERSORES DE FREQUÊNCIA SUBMETIDOS A SURTOS ELÉTRICOS DE ALTA TENSÃO.,UNIDADE NÃO INFORMADA,LAGOA SANTA - MG
2022,PD&I,VIA NÃO INFORMADA,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS 5.0,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,"FASE 3: ""E"" SISTEMAS PARA SUPORTE À GESTÃO DATA-DRIVEN, CUJO OBJETIVO É DESENVOLVER UM CONJUNTO DE RECURSOS QUE DEEM TRANSPARÊNCIA ÀS CONDIÇÕES OPERACIONAIS DAS LINHAS DE PRODUÇÃO DA BALL, CONSOLIDANDO O ÍNDICE DE MATURIDADE 4, DA ACATECH.",UNIDADE NÃO INFORMADA,CABO DE SANTO AGOSTINHO - PE
2022,SERVIÇO TECNOLÓGICO,VIA NÃO INFORMADA,"SECTI /2022
 Nº 03/2022",UNIDADE NÃO INFORMADA,RECIFE - PE
2022,SERVIÇO TECNOLÓGICO,VIA NÃO INFORMADA,TCE / 2022 (1ª E 2ª FASE),UNIDADE NÃO INFORMADA,RECIFE - PE
2023,PD&I,VIA NÃO INFORMADA,PAMESA DIGITAL - FASE 1: PLATAFORMA DE INTELIGÊNCIA DE MANUFATURA APLICADA À CLASSIFICAÇÃO DE PERDAS EM FINAL DE LINHA DE PRODUÇÃO E CONTROLE ESTATÍSTICO DE PROCESSO.,UNIDADE NÃO INFORMADA,CABO DE SANTO AGOSTINHO - PE
2023,PD&I,VIA NÃO INFORMADA,DESENVOLVIMENTO DO PROJETO CAMPARI 4.0 – FASE 3: AUTOMAÇÃO E INTELIGÊNCIA NO PROCESSO DE FORMULAÇÃO.,UNIDADE NÃO INFORMADA,CABO DE SANTO AGOSTINHO - PE
2023,PD&I,VIA NÃO INFORMADA,PROJETO CRISTALPET DIGITAL: VISIBILIDADE E PERFORMANCE EM PROCESSOS. O OBJETIVO DESTE TRABALHO É PROMOVER A TRANSFORMAÇÃO DIGITAL EM 5 DIFERENTES ÁREAS DE NEGÓCIO ATRAVÉS DA IMPLEMENTAÇÃO DE SOLUÇÕES ESPECÍFICAS NO PLANO DE TRABALHO.,UNIDADE NÃO INFORMADA,MACEIÓ - AL
2023,PD&I,VIA NÃO INFORMADA,"PROJETO CHLORUM DIGITAL:
 VISIBILIDADE E PERFORMANCE NA INDÚSTRIA",UNIDADE NÃO INFORMADA,IGARASSU - PE
